28
Consejería de Medio Ambiente Comunidad de Madrid
Alcalá 16
28001 MADRID
0230
28013002Aranjuez                                            40033277778N3591644444W501 11
2801600130590215052100.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V
2801600131590215052100.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V
2801600142020215052106.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V
2801600144020215052100.30V00.30V00.30V00.30V00.30V00.30V00.30V00.30V00.30V00.30V00.30V00.30V00.30V00.30V00.30V00.30V00.30V00.30V00.30V00.30V00.30V00.30V00.30V00.30V
2801600181890215052100.90V01.10V00.40V01.80V03.20V02.80V01.40V01.10V00.80V01.70V01.20V02.70V02.70V02.40V03.60V05.20V05.40V04.60V04.70V04.70V05.00V03.40V03.60V03.00V
2801600182890215052100225V055.0V00319V013.0V013.0V00338V00316V00201V052.0V027.0V020.0V024.0V030.0V033.0V044.0V051.0V054.0V060.0V047.0V039.0V019.0V00294V00228V00233V
2801600183890215052105.80V05.40V04.30V03.60V03.60V03.20V04.80V06.60V08.90V010.2V012.5V013.2V014.6V015.8V017.4V017.3V017.0V016.3V014.9V012.5V010.1V08.20V06.80V05.40V
28016001868902150521059.0V059.0V063.0V067.0V063.0V068.0V064.0V059.0V051.0V047.0V042.0V039.0V036.0V034.0V032.0V031.0V030.0V031.0V034.0V040.0V046.0V051.0V056.0V060.0V
2801600187890215052100909V00909V00908V00908V00908V00909V00909V00910V00910V00910V00910V00910V00909V00909V00908V00908V00908V00908V00908V00909V00909V00910V00910V00909V
2801600188890215052104.00V04.00V04.00V04.00V04.00V053.0V00249V00475V00699V00894V01043V01131V01158V01123V01017V00856V00654V00423V00169V014.0V04.00V04.00V04.00V04.00V
2801600189890215052100.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2804500206480215052100.10V00.10V00.10V00.10V00.10V00.30V00.20V00.20V00.10V00.20V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.20V00.10V00.10V00.10V00.10V00.10V
2804500207080215052101.00V01.00V02.00V02.00V03.00V090.0V029.0V013.0V08.00V09.00V09.00V010.0V06.00V06.00V06.00V08.00V010.0V013.0V09.00V07.00V04.00V02.00V02.00V01.00V
2804500208080215052103.00V03.00V03.00V06.00V014.0V083.0V061.0V034.0V021.0V023.0V021.0V024.0V015.0V016.0V015.0V021.0V026.0V032.0V025.0V020.0V013.0V010.0V08.00V05.00V
28045002104902150521010.0V09.00V08.00V03.00V04.00V07.00V015.0V06.00V09.00V010.0V09.00V011.0V012.0V010.0V07.00V08.00V08.00V018.0V018.0V012.0V017.0V012.0V016.0V08.00V
28045002140602150521081.0V087.0V087.0V087.0V078.0V048.0V061.0V070.0V083.0V085.0V086.0V086.0V090.0V091.0V094.0V096.0V092.0V086.0V087.0V090.0V098.0V096.0V084.0V083.0V
2804500281890215052101.80V01.70V00.90V00.60V00.30V00.20V00.30V00.80V01.60V01.80V01.80V01.50V01.60V01.40V01.20V00.90V02.10V01.90V01.70V01.50V01.80V01.70V01.60V01.10V
28045002828902150521092.0V087.0V098.0V066.0V00109V00214V00315V076.0V086.0V098.0V095.0V093.0V091.0V094.0V050.0V063.0V068.0V063.0V054.0V054.0V064.0V092.0V00107V00101V
2804500283890215052106.50V06.10V05.20V05.00V04.80V04.90V05.90V09.20V010.9V011.7V013.6V015.0V016.9V018.2V019.7V020.5V020.2V019.4V017.7V014.8V012.5V010.9V08.80V07.30V
28045002868902150521061.0V060.0V061.0V060.0V061.0V061.0V058.0V048.0V042.0V041.0V036.0V035.0V031.0V028.0V025.0V024.0V024.0V027.0V030.0V035.0V039.0V042.0V051.0V055.0V
2804500287890215052100918V00918V00919V00919V00919V00919V00920V00920V00920V00920V00920V00920V00919V00919V00918V00918V00918V00918V00918V00918V00919V00919V00920V00920V
2804500288890215052102.00V02.00V02.00V02.00V03.00V039.0V00116V00390V00600V00791V00940V01034V01065V01026V00914V00750V00543V00279V057.0V018.0V02.00V02.00V02.00V02.00V
2804500289890215052100.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2804700201380215052101.00V02.00V01.00V01.00V02.00V02.00V02.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V
2804700207080215052104.00V02.00V01.00V02.00V06.00V018.0V011.0V06.00V04.00V03.00V04.00V02.00V02.00V02.00V02.00V04.00V08.00V07.00V06.00V04.00V02.00V02.00V02.00V02.00V
28047002080802150521039.0V022.0V016.0V022.0V046.0V065.0V044.0V021.0V017.0V014.0V016.0V09.00V08.00V07.00V010.0V016.0V034.0V036.0V037.0V041.0V021.0V020.0V012.0V017.0V
28047002094902150521011.0V08.00V02.00V016.0V08.00V04.00V07.00V013.0V010.0V016.0V03.00V019.0V08.00V08.00V017.0V018.0V015.0V029.0V029.0V030.0V022.0V017.0V07.00V06.00V
28047002140602150521047.0V062.0V060.0V047.0V028.0V029.0V054.0V072.0V074.0V077.0V080.0V089.0V092.0V094.0V094.0V087.0V075.0V075.0V071.0V067.0V082.0V081.0V084.0V072.0V
2804700220590215052102.00V01.70V00.40V01.50V016.5V08.00V04.20V01.80V01.60V01.30V01.60V01.50V00.90V00.60V00.60V00.60V01.20V02.50V03.20V02.20V02.70V03.20V00.90V00.40V
2804700230590215052100.60V00.60V00.30V00.50V01.20V01.40V01.60V01.00V00.70V00.60V00.70V00.50V00.40V00.30V00.30V00.40V00.80V01.20V01.60V01.10V01.20V01.60V00.50V00.30V
2804700231590215052100.50V00.60V00.20V00.30V02.00V01.50V01.50V00.50V00.50V00.40V00.40V00.30V00.20V00.20V00.10V00.10V00.40V00.80V01.40V00.90V01.10V01.70V00.50V00.20V
2804700242020215052105.70V05.70V05.60V05.80V06.00V05.90V05.70V05.60V05.60V05.60V05.60V05.60V05.60V05.60V05.60V05.60V05.60V05.60V05.60V05.60V05.60V05.60V05.60V05.60V
2804700244020215052100.10V00.10V00.10V00.10V00.20V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V
2804700281890215052101.40V01.20V01.40V01.20V01.20V01.50V01.80V01.70V01.60V01.70V01.90V02.30V02.00V02.20V02.50V02.50V03.60V03.60V03.40V02.60V02.70V02.50V02.20V01.90V
2804700282890215052100105V026.0V027.0V00282V02.00V025.0V047.0V020.0V00123V00167V028.0V00185V00159V00225V00316V015.0V040.0V060.0V054.0V073.0V00121V083.0V00110V052.0V
2804700283890215052108.70V07.60V06.90V06.00V05.00V05.80V09.30V010.9V012.4V014.3V016.2V016.8V018.5V019.4V020.3V021.0V020.1V018.7V016.9V014.3V012.7V011.5V011.1V09.20V
28047002868902150521055.0V059.0V063.0V067.0V069.0V066.0V052.0V045.0V040.0V035.0V031.0V029.0V026.0V025.0V024.0V024.0V023.0V024.0V028.0V033.0V036.0V040.0V041.0V049.0V
2804700287890215052100922V00922V00922V00921V00922V00922V00924V00925V00925V00925V00925V00925V00924V00924V00923V00923V00923V00923V00923V00923V00923V00923V00924V00923V
2804700288890215052104.00V04.00V04.00V04.00V05.00V00100V00309V00493V00657V00789V00880V00917V00900V00839V00747V00600V00360V00204V056.0V08.00V04.00V04.00V04.00V04.00V
2804700289890215052100.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2804900307080215052101.00V01.00V01.00V02.00V012.0V029.0V034.0V022.0V015.0V013.0V010.0V012.0V011.0V09.00V010.0V010.0V013.0V013.0V013.0V09.00V06.00V05.00V03.00V01.00V
2804900308080215052109.00V010.0V012.0V022.0V042.0V062.0V054.0V041.0V031.0V028.0V025.0V029.0V029.0V023.0V026.0V029.0V035.0V040.0V043.0V040.0V029.0V027.0V013.0V09.00V
28049003104902150521016.0V012.0V013.0V08.00V019.0V019.0V027.0V034.0V015.0V032.0V028.0V029.0V027.0V014.0V016.0V022.0V019.0V019.0V022.0V022.0V015.0V022.0V022.0V019.0V
28049003140602150521080.0V076.0V073.0V061.0V040.0V024.0V035.0V052.0V067.0V069.0V075.0V076.0V079.0V081.0V083.0V083.0V080.0V079.0V073.0V077.0V082.0V071.0V081.0V081.0V
2804900381890215052102.40V02.10V02.10V01.90V01.90V02.00V02.40V02.80V03.20V02.70V02.80V02.70V02.80V02.30V02.20V02.20V01.90V02.50V02.80V02.20V02.50V03.10V03.00V02.70V
2804900382890215052100102V099.0V098.0V096.0V00101V00100V097.0V096.0V096.0V095.0V097.0V098.0V094.0V00116V089.0V084.0V00115V081.0V00112V092.0V086.0V099.0V00106V00110V
28049003838902150521010.1V09.20V08.50V07.60V07.00V07.00V08.20V010.6V012.5V014.7V016.4V018.1V019.4V020.9V022.1V022.4V022.6V022.1V020.3V017.5V015.8V013.4V011.5V010.4V
28049003868902150521052.0V055.0V059.0V062.0V064.0V065.0V060.0V051.0V043.0V035.0V030.0V025.0V021.0V020.0V018.0V017.0V016.0V018.0V021.0V025.0V028.0V037.0V043.0V047.0V
2804900387890215052100932V00932V00932V00932V00933V00933V00934V00934V00934V00934V00934V00933V00933V00932V00931V00931V00930V00930V00931V00931V00932V00933V00933V00933V
2804900388890215052105.00V05.00V05.00V05.00V05.00V019.0V028.0V00358V00654V00795V00899V00953V00948V00885V00773V00622V00447V00267V062.0V09.00V05.00V05.00V05.00V05.00V
2804900389890215052100.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2805800407080215052103.00V02.00V02.00V02.00V06.00V012.0V025.0V016.0V010.0V08.00V08.00V07.00V07.00V06.00V05.00V06.00V05.00V06.00V06.00V06.00V04.00V03.00V03.00V02.00V
2805800408080215052102.00V01.00V03.00V08.00V025.0V044.0V050.0V034.0V023.0V015.0V015.0V015.0V016.0V014.0V010.0V013.0V014.0V023.0V032.0V029.0V022.0V016.0V08.00V03.00V
28058004104902150521022.0V017.0V04.00V05.00V013.0V07.00V019.0V013.0V017.0V014.0V019.0V09.00V09.00V010.0V013.0V019.0V014.0V016.0V011.0V016.0V036.0V016.0V020.0V024.0V
28058004140602150521*****N*****N*****N*****N*****N*****N*****N059.0V074.0V083.0V087.0V093.0V097.0V00100V00104V00106V00105V099.0V088.0V087.0V093.0V090.0V084.0V086.0V
2805800420590215052100.20V00.20V00.20V00.20V00.20V00.30V00.40V00.30V00.40V00.60V00.60V00.50V00.50V00.40V00.40V00.20V00.20V00.30V00.40V00.50V00.60V00.40V00.20V00.20V
2805800430590215052100.20V00.20V00.20V00.10V00.30V00.30V00.30V00.40V00.20V00.20V00.20V00.20V00.40V00.20V00.30V00.20V00.20V00.20V00.10V00.20V00.20V00.20V00.10V00.20V
2805800431590215052100.50V00.20V00.40V00.10V00.70V00.40V00.40V00.30V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.10V
2805800442020215052104.50V04.50V04.50V04.50V04.60V04.60V04.60V04.60V04.60V04.50V04.50V04.50V04.50V04.50V04.50V04.50V04.50V04.50V04.60V04.60V04.60V04.60V04.50V04.50V
2805800444020215052100.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V
2805800481890215052104.90V04.20V04.00V03.70V03.00V03.40V04.10V04.10V03.80V03.60V03.30V03.70V03.70V03.40V02.90V03.10V02.80V02.70V03.10V04.30V04.20V04.40V04.70V04.10V
28058004828902150521081.0V081.0V078.0V076.0V073.0V085.0V090.0V088.0V071.0V077.0V062.0V086.0V088.0V077.0V073.0V072.0V076.0V00105V059.0V071.0V065.0V063.0V066.0V067.0V
28058004838902150521012.7V011.8V010.9V010.2V09.60V09.80V010.8V012.2V013.6V015.1V016.8V018.2V019.8V021.1V022.3V023.3V023.8V023.9V023.3V021.4V019.3V017.4V014.7V012.9V
28058004868902150521049.0V051.0V054.0V056.0V057.0V057.0V054.0V050.0V045.0V040.0V037.0V033.0V029.0V026.0V025.0V023.0V023.0V023.0V023.0V026.0V029.0V034.0V041.0V046.0V
2805800487890215052100943V00944V00944V00944V00944V00944V00945V00945V00945V00945V00945V00944V00944V00943V00943V00942V00942V00942V00942V00942V00943V00944V00944V00944V
2805800488890215052104.00V04.00V04.00V04.00V04.00V020.0V00173V00352V00532V00688V00807V00878V00897V00863V00773V00636V00465V00220V04.00V04.00V04.00V04.00V04.00V04.00V
2805800489890215052100.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2806501407080215052101.00V01.00V01.00V01.00V02.00V04.00V04.00V03.00V02.00V02.00V02.00V02.00V02.00V01.00V03.00V02.00V02.00V02.00V01.00V01.00V01.00V01.00V01.00V01.00V
2806501408080215052103.00V05.00V04.00V08.00V015.0V036.0V026.0V013.0V07.00V07.00V06.00V07.00V06.00V06.00V09.00V010.0V09.00V013.0V013.0V015.0V013.0V016.0V06.00V06.00V
28065014104902150521011.0V06.00V05.00V03.00V06.00V08.00V011.0V010.0V09.00V033.0V046.0V024.0V051.0V031.0V023.0V028.0V020.0V010.0V09.00V015.0V015.0V016.0V011.0V010.0V
28065014140602150521080.0V075.0V076.0V071.0V064.0V045.0V059.0V070.0V078.0V080.0V085.0V089.0V092.0V093.0V093.0V095.0V095.0V093.0V091.0V088.0V090.0V076.0V077.0V074.0V
2806501481890215052102.60V02.00V02.30V01.70V01.40V01.50V02.80V03.20V02.80V02.40V02.20V02.30V02.50V02.20V02.10V01.80V01.90V01.90V02.40V02.70V02.80V03.00V02.40V02.10V
28065014828902150521064.0V063.0V063.0V040.0V052.0V063.0V063.0V081.0V069.0V065.0V071.0V00108V053.0V00103V045.0V00312V071.0V066.0V073.0V077.0V051.0V068.0V064.0V067.0V
28065014838902150521010.9V010.1V09.20V08.50V07.90V08.00V09.20V010.5V012.3V014.0V015.7V017.3V018.9V020.2V021.4V022.2V022.9V023.0V022.0V019.5V017.5V015.4V012.9V011.2V
28065014868902150521048.0V052.0V054.0V056.0V057.0V058.0V054.0V050.0V044.0V040.0V035.0V031.0V027.0V025.0V023.0V022.0V022.0V022.0V023.0V026.0V029.0V035.0V042.0V046.0V
2806501487890215052100951V00951V00951V00951V00951V00951V00952V00952V00952V00952V00952V00952V00951V00951V00950V00950V00949V00949V00949V00950V00951V00951V00952V00952V
2806501488890215052101.00V02.00V04.00V05.00V07.00V023.0V00106V00327V00519V00692V00843V00943V00973V00939V00848V00707V00521V00317V00105V05.00V01.00V01.00V01.00V01.00V
2806501489890215052100.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2806700107080215052101.00V01.00V01.00V01.00V01.00V03.00V03.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V
2806700108080215052101.00V01.00V01.00V01.00V03.00V017.0V012.0V04.00V02.00V02.00V02.00V02.00V02.00V01.00V01.00V01.00V01.00V01.00V02.00V03.00V04.00V02.00V02.00V02.00V
2806700110490215052105.00V07.00V04.00V03.00V03.00V03.00V03.00V06.00V09.00V08.00V07.00V09.00V08.00V04.00V05.00V07.00V09.00V010.0V012.0V014.0V014.0V010.0V04.00V05.00V
28067001140602150521081.0V089.0V089.0V077.0V071.0V055.0V066.0V088.0V092.0V094.0V094.0V095.0V096.0V098.0V00103V00111V00106V00103V00103V00103V099.0V094.0V089.0V080.0V
2806700181890215052101.50V01.80V01.50V00.80V01.10V00.70V00.90V02.00V03.00V02.90V02.40V02.30V02.30V02.60V03.10V03.80V04.20V04.00V02.90V01.30V01.60V02.00V02.00V00.90V
28067001828902150521086.0V00296V05.00V088.0V061.0V00103V057.0V052.0V044.0V067.0V00141V098.0V064.0V050.0V097.0V00204V00247V00255V00257V00154V064.0V079.0V084.0V068.0V
2806700183890215052108.00V08.00V07.70V06.20V05.50V07.10V010.9V012.0V012.8V014.1V015.6V017.4V018.8V019.6V020.0V019.8V019.2V018.2V016.6V014.3V012.7V010.6V09.50V07.90V
28067001868902150521065.0V061.0V060.0V067.0V070.0V067.0V053.0V045.0V040.0V036.0V033.0V030.0V027.0V025.0V023.0V021.0V023.0V027.0V031.0V036.0V039.0V048.0V055.0V063.0V
2806700187890215052100929V00929V00929V00929V00930V00930V00930V00930V00930V00930V00930V00929V00928V00928V00927V00927V00927V00927V00928V00928V00929V00930V00930V00930V
2806700188890215052104.00V04.00V04.00V04.00V05.00V048.0V00219V00421V00621V00796V00925V00999V01018V00984V00889V00735V00546V00336V00112V08.00V04.00V04.00V04.00V04.00V
2806700189890215052100.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2807400707080215052101.00V01.00V01.00V03.00V04.00V011.0V012.0V010.0V07.00V06.00V06.00V05.00V05.00V04.00V03.00V04.00V04.00V05.00V04.00V04.00V03.00V02.00V02.00V01.00V
2807400708080215052104.00V04.00V05.00V09.00V019.0V033.0V036.0V024.0V017.0V012.0V014.0V014.0V012.0V011.0V012.0V012.0V013.0V016.0V021.0V022.0V017.0V011.0V010.0V05.00V
28074007104902150521018.0V012.0V016.0V07.00V08.00V015.0V09.00V023.0V035.0V011.0V013.0V017.0V09.00V010.0V010.0V013.0V011.0V013.0V07.00V012.0V016.0V018.0V024.0V021.0V
28074007140602150521091.0V089.0V090.0V083.0V072.0V058.0V053.0V069.0V078.0V085.0V090.0V095.0V098.0V00102V00105V00107V00106V00104V098.0V093.0V096.0V093.0V086.0V090.0V
2807400781890215052102.30V02.30V02.60V01.70V01.80V02.30V02.00V02.90V02.60V02.50V02.70V02.60V02.40V02.10V01.60V01.90V01.80V01.90V02.70V03.10V03.30V03.30V03.00V03.00V
28074007828902150521060.0V057.0V051.0V052.0V059.0V052.0V056.0V056.0V053.0V047.0V056.0V062.0V058.0V043.0V052.0V015.0V052.0V019.0V038.0V052.0V043.0V049.0V055.0V055.0V
28074007838902150521010.8V010.1V09.40V08.80V08.50V08.70V010.2V010.9V012.5V014.0V015.6V017.0V018.3V019.4V020.7V021.2V021.5V021.6V020.5V018.4V016.5V014.7V012.4V011.0V
28074007868902150521049.0V052.0V054.0V056.0V057.0V058.0V053.0V049.0V043.0V038.0V034.0V030.0V026.0V025.0V022.0V021.0V021.0V021.0V021.0V024.0V028.0V034.0V041.0V046.0V
2807400787890215052100952V00952V00952V00952V00953V00953V00954V00954V00954V00954V00954V00953V00953V00952V00951V00950V00950V00950V00950V00951V00952V00953V00954V00954V
2807400788890215052104.00V04.00V04.00V04.00V04.00V034.0V00210V00449V00635V00788V00895V00952V00953V00890V00779V00627V00448V00263V055.0V04.00V04.00V04.00V04.00V04.00V
2807400789890215052100.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2808000307080215052101.00V01.00V01.00V01.00V01.00V02.00V04.00V03.00V02.00V03.00V02.00V02.00V01.00V01.00V02.00V03.00V02.00V02.00V02.00V02.00V01.00V01.00V01.00V01.00V
2808000308080215052105.00V05.00V05.00V05.00V012.0V037.0V041.0V024.0V013.0V012.0V09.00V010.0V09.00V08.00V011.0V017.0V010.0V019.0V022.0V031.0V019.0V012.0V09.00V07.00V
28080003104902150521013.0V04.00V04.00V01.00V03.00V06.00V08.00V013.0V013.0V06.00V05.00V011.0V02.00V04.00V05.00V04.00V015.0V03.00V06.00V013.0V015.0V018.0V021.0V011.0V
28080003140602150521081.0V080.0V078.0V077.0V071.0V055.0V056.0V074.0V085.0V088.0V094.0V096.0V099.0V00102V00101V00101V00103V099.0V093.0V085.0V089.0V093.0V086.0V082.0V
2808000381890215052104.80V04.70V04.70V04.80V04.20V04.00V04.40V04.80V04.60V04.20V04.30V04.00V04.20V04.30V04.20V03.40V03.30V05.20V06.20V05.50V04.90V04.60V05.50V05.10V
28080003828902150521020.0V016.0V013.0V07.00V07.00V08.00V07.00V014.0V014.0V014.0V07.00V00358V07.00V00341V00359V08.00V00358V011.0V00340V00358V08.00V017.0V021.0V020.0V
28080003838902150521010.2V09.40V08.60V08.00V07.50V07.40V08.30V010.0V011.5V013.0V014.3V016.1V017.1V018.1V019.3V020.0V020.5V020.3V019.1V017.5V015.5V014.1V012.0V010.5V
28080003868902150521065.0V068.0V071.0V074.0V077.0V076.0V071.0V062.0V055.0V050.0V044.0V038.0V036.0V034.0V032.0V030.0V029.0V028.0V030.0V036.0V040.0V044.0V055.0V062.0V
2808000387890215052100949V00949V00949V00949V00949V00950V00951V00952V00952V00952V00952V00951V00950V00949V00949V00948V00947V00947V00947V00948V00949V00950V00951V00951V
2808000388890215052103.00V03.00V03.00V03.00V03.00V071.0V00262V00463V00652V00814V00934V00997V01003V00945V00848V00698V00516V00303V043.0V09.00V03.00V03.00V03.00V03.00V
2808000389890215052100.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2809200501380215052101.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V
2809200506480215052100.20V00.20V00.20V00.20V00.20V00.30V00.30V00.30V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.30V00.20V00.30V00.20V
2809200507080215052101.00V01.00V01.00V01.00V02.00V02.00V05.00V05.00V03.00V03.00V02.00V03.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V01.00V02.00V01.00V01.00V
2809200508080215052108.00V07.00V08.00V09.00V014.0V020.0V025.0V021.0V016.0V013.0V011.0V012.0V011.0V010.0V09.00V010.0V010.0V010.0V015.0V019.0V018.0V014.0V010.0V09.00V
28092005104902150521014.0V013.0V09.00V011.0V06.00V08.00V016.0V09.00V07.00V09.00V013.0V08.00V015.0V015.0V09.00V012.0V010.0V010.0V09.00V010.0V017.0V015.0V012.0V022.0V
28092005140602150521080.0V082.0V081.0V080.0V071.0V059.0V053.0V064.0V076.0V083.0V091.0V093.0V097.0V00100V00106V00107V00107V00105V097.0V084.0V085.0V090.0V088.0V085.0V
2809200581890215052102.70V02.90V02.70V02.40V02.10V02.20V02.30V02.50V02.60V02.60V02.90V03.00V02.50V02.40V02.30V02.40V02.40V02.10V02.90V02.70V02.40V02.80V02.80V02.90V
28092005828902150521088.0V086.0V083.0V083.0V081.0V00102V080.0V091.0V083.0V098.0V051.0V061.0V013.0V063.0V00354V018.0V00283V069.0V090.0V00106V090.0V091.0V087.0V087.0V
28092005838902150521011.3V010.5V09.90V09.30V08.90V09.00V010.5V011.5V013.0V014.5V016.1V017.5V019.5V020.6V021.4V021.9V022.3V022.5V021.2V018.5V016.6V015.1V013.0V011.5V
28092005868902150521046.0V050.0V051.0V053.0V054.0V055.0V049.0V045.0V039.0V035.0V030.0V027.0V023.0V022.0V021.0V020.0V020.0V019.0V019.0V024.0V028.0V032.0V038.0V043.0V
2809200587890215052100934V00935V00935V00935V00935V00936V00936V00937V00937V00937V00936V00936V00935V00935V00934V00934V00933V00933V00933V00934V00935V00936V00936V00936V
2809200588890215052104.00V04.00V04.00V04.00V04.00V037.0V00227V00426V00619V00787V00907V00971V00980V00928V00821V00663V00477V00277V089.0V04.00V04.00V04.00V04.00V04.00V
2809200589890215052100.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2810200101380215052101.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V
2810200106480215052100.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.10V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.10V00.20V00.20V
2810200107080215052101.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V
2810200108080215052102.00V02.00V02.00V02.00V02.00V02.00V03.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V03.00V03.00V03.00V03.00V02.00V
2810200110490215052101.00V03.00V02.00V01.00V02.00V03.00V04.00V05.00V04.00V04.00V04.00V03.00V04.00V016.0V02.00V02.00V01.00V03.00V012.0V09.00V04.00V04.00V02.00V08.00V
28102001140602150521088.0V089.0V090.0V090.0V089.0V089.0V088.0V090.0V092.0V094.0V095.0V099.0V00104V00107V00112V00116V00117V00114V00113V00111V00105V094.0V088.0V089.0V
2810200181890215052108.00V07.70V07.60V05.50V05.60V05.80V06.10V06.10V06.70V05.70V05.30V04.40V04.60V04.40V04.50V04.40V04.80V04.60V04.90V05.50V05.20V06.80V09.60V06.80V
28102001828902150521038.0V037.0V035.0V035.0V033.0V030.0V030.0V038.0V027.0V046.0V024.0V026.0V037.0V045.0V039.0V033.0V038.0V047.0V038.0V039.0V044.0V045.0V044.0V048.0V
2810200183890215052108.80V08.10V07.50V06.80V06.30V06.50V07.80V010.0V011.5V013.3V014.5V016.2V017.5V019.3V019.8V020.4V020.4V020.0V019.1V016.9V014.8V012.7V010.4V09.00V
28102001868902150521056.0V058.0V059.0V060.0V061.0V061.0V056.0V050.0V045.0V040.0V036.0V030.0V025.0V023.0V021.0V018.0V019.0V022.0V025.0V028.0V032.0V041.0V048.0V050.0V
